"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00284339","JERSEY CITY, NJ US","1980-10-13","0.0","8.9","1.1","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-10-14","0.0","8.9","0.6","5.0"
"USC00284339","JERSEY CITY, NJ US","1980-10-15","0.0","8.3","4.4","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-10-16","0.0","16.1","5.0","12.8"
"USC00284339","JERSEY CITY, NJ US","1980-10-17","0.0","18.3","10.6","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-10-18","28.4","17.8","11.1","11.1"
"USC00284339","JERSEY CITY, NJ US","1980-10-19","0.0","16.1","10.0","10.6"
"USC00284339","JERSEY CITY, NJ US","1980-10-20","0.0","10.0","3.3","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-10-21","0.0","12.8","1.7","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-10-22","0.0","9.4","2.2","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-10-23","0.0","6.7","-1.1","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-10-24","0.0","7.2","-0.6","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-10-25","38.1","12.2","2.2","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-10-26","0.0","4.4","0.0","0.6"
"USC00284339","JERSEY CITY, NJ US","1980-10-27","0.0","7.2","0.6","2.8"
"USC00284339","JERSEY CITY, NJ US","1980-10-28","2.3","7.8","1.7","1.7"
"USC00284339","JERSEY CITY, NJ US","1980-10-29","0.0","6.1","-0.6","0.6"
"USC00284339","JERSEY CITY, NJ US","1980-10-30","0.0","5.6","-1.7","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-10-31","0.0","9.4","-1.1","3.3"
